NO,Kode Barang,Barcode,Nama Barang,Satuan,Qty,Harga,Diskon,Diskon (Rupiah),Jual (Rupiah),Kategori Penjualan,Label Penjualan
16,303000001,303000001,BABY HAPPY S56 JUMBO,PCS,2.0,66400.0,0.0,Rp0,Rp132.800,Tidak Laris,3
17,200300091,200300091,BABY HAPPY XL20 BAG,PCS,3.0,40300.0,0.0,Rp0,Rp120.900,Tidak Laris,3
18,200300092,200300092,BABY HAPPY XL26 BAG,PCS,1.0,53500.0,0.0,Rp0,Rp53.500,Tidak Laris,3
19,201211,8998866502498,BABY HAPPY XL38 JUMBO,PCS,2.0,73900.0,0.0,Rp0,Rp147.800,Tidak Laris,3
20,200300063,8998866500579,BABY HAPPY XL7,PCS,24.0,13400.0,0.0,Rp0,Rp321.600,Sedang,2
21,201700060,8998866500630,BABY HAPPY XXL18,PCS,2.0,41300.0,0.0,Rp0,Rp82.600,Tidak Laris,3
22,200600356,8991111101323,BABY OIL 125ML,PCS,2.0,25700.0,0.0,Rp0,Rp51.400,Tidak Laris,3
23,201300040,8998866100151,CIPTADEN COOL MINT 120G,PCS,59.0,7356.862700000001,0.1,Rp43.405,Rp390.649,Laris,1
24,201300058,8998866109956,CIPTADEN TP MAXI FM 75G,PCS,39.0,3812.0,0.05,Rp7.433,Rp141.235,Sedang,2
25,201137,8998866108058,CIPTADENT DIAMOND CLEAN ISI 3,PCS,3.0,8800.0,0.0,Rp0,Rp26.400,Tidak Laris,3
26,201300057,8998866100144,CIPTADENT EKO 75G,PCS,76.0,3811.1111,0.1,Rp28.964,Rp260.680,Laris,1
27,202700053,8998866103961,CIPTADENT EXTRA CLEAN MED,PCS,2.0,3400.0,0.0,Rp0,Rp6.800,Tidak Laris,3
28,201100123,8998866106955,CIPTADENT EXTRA CLEAN SOFT ISI3,PCS,8.0,8650.0,0.0,Rp0,Rp69.200,Tidak Laris,3
29,200800242,8998866181068,CIPTADENT FRES MINT 65G,PCS,84.0,3740.625,0.1,Rp31.421,Rp282.791,Laris,1
30,200800244,8998866181075,CIPTADENT FRESH MINT 120G,PCS,54.0,7346.938700000001,0.1,Rp39.673,Rp357.061,Laris,1
31,201300048,8998866106184,CIPTADENT HERBAL 75G,PCS,21.0,7400.0,0.0,Rp0,Rp155.400,Sedang,2
32,201300064,8998866105064,CIPTADENT ICE TUBE COMPLETE 120G,PCS,44.0,7783.3333,0.05,Rp17.123,Rp325.343,Sedang,2
33,200600236,8998866105057,CIPTADENT MAXI 65G,PCS,82.0,3855.7377,0.1,Rp31.617,Rp284.553,Laris,1
34,201300060,8998866109963,CIPTADENT MAXI COMPLETE  75G,PCS,37.0,3821.4285,0.05,Rp7.070,Rp134.323,Sedang,2
35,203100012,8998866101974,CIPTADENT TB CLASIC REG SOFT,PCS,12.0,3463.6363,0.0,Rp0,Rp41.564,Tidak Laris,3
36,203100011,8998866101929,CIPTADENT TB CLASSIC DA SOFT SINGLE,PCS,3.0,2933.3333,0.0,Rp0,Rp8.800,Tidak Laris,3
37,300028,8998866102506,CIPTADENT TB CLASSIC REG SOFT ISI 3,PCS,6.0,7400.0,0.0,Rp0,Rp44.400,Tidak Laris,3
38,202700024,8998866103978,CIPTADENT TB CRYSTAL SOFT,PCS,30.0,3430.7692,0.0,Rp0,Rp102.923,Sedang,2
39,302600003,8998866108027,CIPTADENT TB DIAMOND SOFT SINGLE,PCS,26.0,2950.0,0.0,Rp0,Rp76.700,Sedang,2
40,200967,8998866103954,CIPTADENT TB EXTRA CLEAN  SOFT,PCS,5.0,3420.0,0.0,Rp0,Rp17.100,Tidak Laris,3
41,201100124,8998866107075,CIPTADENT TOTAL CLEAN SOFT ISI3,PCS,7.0,8200.0,0.0,Rp0,Rp57.400,Tidak Laris,3
42,200948,8998866109079,CIPTADENT TP ALL VRT 225G,PCS,26.0,13500.0,0.0,Rp0,Rp351.000,Sedang,2
43,201300061,8998866105071,CIPTADENT TP MAXI 12 COMPLETE 190GR,PCS,19.0,12131.5789,0.0,Rp0,Rp230.500,Tidak Laris,3
44,200800245,8998866181082,CIPTADENT TP MAXI 12 FM  190G,PCS,25.0,12100.0,0.0,Rp0,Rp302.500,Sedang,2
45,201300047,8998866100168,CIPTADENT TP MAXI 12CM  190G,PCS,21.0,12147.619,0.0,Rp0,Rp255.100,Sedang,2
46,200600235,8998866109949,CIPTADENT TP MAXI CM 75G,PCS,100.0,3816.0493,0.1,Rp38.160,Rp343.444,Laris,1
47,201100076,8998866604963,DAIA ALL VARIANT 245 GR,PCS,762.0,4685.1985,0.15,Rp535.518,Rp3.034.603,Laris,1
48,201100078,8998866609036,DAIA ALL VARIANT 470G,PCS,42.0,9650.0,0.05,Rp20.265,Rp385.035,Sedang,2
49,200400145,8998866618281,DAIA PK ALL VARIANT 46GR BD3,PCS,711.0,2607.3359,0.15,Rp278.072,Rp1.575.743,Laris,1
50,201100023,89988666022111,DAIA PK FLORAL BLSM 46GR BD3,PCS,2.0,2900.0,0.0,Rp0,Rp5.800,Tidak Laris,3
51,200400019,89988666073601,DAIA PK PUTIH BD3 46GR,PCS,2.0,2900.0,0.0,Rp0,Rp5.800,Tidak Laris,3
52,200400144,89988666102301,DAIA PK VIOLET BD3 46GR,PCS,6.0,2600.0,0.0,Rp0,Rp15.600,Tidak Laris,3
53,200945,8998866618311,"DAIA POWDER CLEAN FRESH 1,5 KG",PCS,3.0,32300.0,0.0,Rp0,Rp96.900,Tidak Laris,3
54,200946,8998866603898,"DAIA POWDER FLORAL 1,5 KG",PCS,3.0,32300.0,0.0,Rp0,Rp96.900,Tidak Laris,3
55,100400130,8998866200981,EKO MIE 110G,PCS,65.0,2462.9629,0.1,Rp16.009,Rp144.083,Laris,1
56,100809,8998866200561,EKO MIE SUPER BAG 3.6KG,PCS,12.0,9625.0,0.0,Rp0,Rp115.500,Tidak Laris,3
57,200400001,8998866612982,EKONOMI 1000 ALL VAR 67GR,PCS,1190.0,870.0462,0.15,Rp155.303,Rp880.052,Laris,1
58,200400119,8998866612999,EKONOMI ALL VAR E500 145GR,PCS,1476.0,1881.6427,0.15,Rp416.596,Rp2.360.709,Laris,1
59,200400146,8998866608329,EKONOMI ALL VARIANT 380G,PCS,383.0,4830.410400000001,0.15,Rp277.507,Rp1.572.540,Laris,1
60,201500029,8998866622370,EKONOMI PENCUCI PIRING ALL VAR 122ML,PCS,55.0,1832.0,0.1,Rp10.076,Rp90.684,Laris,1
61,201600038,8998866611701,EKONOMI PENCUCI PIRING JN 122ML,PCS,6.0,1900.0,0.0,Rp0,Rp11.400,Tidak Laris,3
62,302400005,8998866618953,EKONOMI PENCUCI PIRING JN 1500 ML,PCS,1.0,20400.0,0.0,Rp0,Rp20.400,Tidak Laris,3
63,302400004,89988666273991,EKONOMI PENCUCI PIRING NANAS 122ML,PCS,10.0,1850.0,0.0,Rp0,Rp18.500,Tidak Laris,3
64,202600316,8998866630733,EKONOMI PENCUCI PIRING NAT JN BTL 650ML,PCS,22.0,7900.0,0.0,Rp0,Rp173.800,Sedang,2
65,201071,8998866622394,EKONOMI PENCUCI PIRING SJ 650ML,PCS,69.0,7727.2727,0.1,Rp53.318,Rp479.864,Laris,1
66,201600014,89988666152971,EKONOMI PENCUCI PIRING SL 122ML,PCS,23.0,1837.5,0.0,Rp0,Rp42.262,Sedang,2
67,201072,8998866615310,EKONOMI PENCUCI PIRING SL 650ML,PCS,14.0,7775.0,0.0,Rp0,Rp108.850,Tidak Laris,3
68,201047,8998866109437,EMERON LOVELY NATURAL ALL VRT  200ML,PCS,9.0,6200.0,0.0,Rp0,Rp55.800,Tidak Laris,3
69,300040,8998866109444,EMERON LOVELY NATURAL ALL VRT 400ML,PCS,7.0,10400.0,0.0,Rp0,Rp72.800,Tidak Laris,3
70,200673,8998866105491,EMERON LOVELY WHITE ALL VRT 100ML,PCS,14.0,4757.1428000000005,0.0,Rp0,Rp66.600,Tidak Laris,3
71,201184,8998866629720,EMERON LOVELY WHITE ALL VRT 200ML,PCS,13.0,8400.0,0.0,Rp0,Rp109.200,Tidak Laris,3
72,300039,8998866629737,EMERON LOVELY WHITE ALL VRT 500ML,PCS,8.0,14800.0,0.0,Rp0,Rp118.400,Tidak Laris,3
73,200500034,8998866107549,EMERON SHP HAIR FALL BD12,PCS,6.0,5150.0,0.0,Rp0,Rp30.900,Tidak Laris,3
74,200491,8998866605922,FRESH ALL VARIANT 100ML,PCS,63.0,11200.0,0.1,Rp70.560,Rp635.040,Laris,1
75,202600294,8998866614368,FRESH&NAT BODYWASH ALL VARIAN 400ML,PCS,11.0,17581.8181,0.0,Rp0,Rp193.400,Tidak Laris,3
76,200500152,200500152,FRIO LOLI PLES 500,PCS,19.0,500.0,0.0,Rp0,Rp9.500,Tidak Laris,3
77,100378,8992753722181,FRISIAN FLAG GOLD 280G,PCS,37.0,14400.0,0.05,Rp26.640,Rp506.160,Sedang,2
78,100538,8992753722785,FRISIAN FLAG KOREA STR 260G,PCS,1.0,9800.0,0.0,Rp0,Rp9.800,Tidak Laris,3
79,101400069,8998866820400,FROST BITE CHOCO CREAM,PCS,13.0,5000.0,0.0,Rp0,Rp65.000,Tidak Laris,3
80,101400063,8998866820370,FROST BITE CHOCO LAVA MOCI,PCS,33.0,3000.0,0.05,Rp4.950,Rp94.050,Sedang,2
81,101400068,8998866820516,FROST BITE CHOCONUT CASHEW 65ML,PCS,14.0,4642.8571,0.0,Rp0,Rp65.000,Tidak Laris,3
82,101400127,8998866820691,FROST BITE COOKIES CREAM CUP 90ML,PCS,25.0,5000.0,0.0,Rp0,Rp125.000,Sedang,2
83,101400062,8998866820394,FROST BITE STR SAKURA  MOCI,PCS,43.0,3000.0,0.05,Rp6.450,Rp122.550,Sedang,2
84,101400055,8998866820554,FROSTBITE BOBA 60ML,PCS,30.0,5000.0,0.0,Rp0,Rp150.000,Sedang,2
85,101400081,8998866820561,FROSTBITE CHOCO DOUBLE CRUNCY,PCS,22.0,4583.3333,0.0,Rp0,Rp100.833,Sedang,2
86,202600021,8998866612890,GIV ALL BTG (BISA CAMPUR) 72GR,PCS,1030.0,3151.9038,0.15,Rp486.969,Rp2.759.492,Laris,1
87,202600257,8998866609777,GIV BODY WASH ALL VARIANT 400ML,PCS,75.0,17200.0,0.1,Rp129.000,Rp1.161.000,Laris,1
88,200400008,8998866805995,GIV PCH ALL VAR 250ML,PCS,61.0,13800.0,0.1,Rp84.180,Rp757.620,Laris,1
89,200800019,8998866805964,GIV PCH ALL VAR 60ML,PCS,442.0,2656.3524,0.15,Rp176.116,Rp997.992,Laris,1
90,101000034,8998866202893,GOLDA COFEE CAPPUCINO 200ML,PCS,143.0,3431.7567000000004,0.15,Rp73.611,Rp417.130,Laris,1
91,101000022,8998866201841,GOLDA COFFE DOLCE 200ML,PCS,246.0,3437.4172000000003,0.15,Rp126.841,Rp718.764,Laris,1
92,100282,8998866200158,JASJUS ALL VARIANT BD10,PCS,91.0,3388.2352,0.1,Rp30.833,Rp277.496,Laris,1
93,101600092,8998866201827,JAVANA GULA BATU&ORIGINAL 350ML,PCS,347.0,2743.3333,0.15,Rp142.790,Rp809.146,Laris,1
94,200600237,899886661008711,JAVANA ORIGINAL 350ML,PCS,28.0,2722.7272000000003,0.0,Rp0,Rp76.236,Sedang,2
95,202600008,8998866615082,K NAT WHITE ALL VAR 400ML,PCS,2.0,19500.0,0.0,Rp0,Rp39.000,Tidak Laris,3
96,202600091,8998866620291,K NATURE BTG ALL VRT,PCS,4.0,3600.0,0.0,Rp0,Rp14.400,Tidak Laris,3
97,200700019,8992772198011,KISPRAY ALL VAR R-280ML,PCS,11.0,5445.4545,0.0,Rp0,Rp59.900,Tidak Laris,3
98,200700030,8992772195027,KISPRAY BTL ALL VAR 318ML,PCS,50.0,12714.2857,0.05,Rp31.786,Rp603.929,Sedang,2
99,200700037,8992772191203,KISPRAY ALL VAR SAC 7ML,PCS,84.0,5800.0,0.1,Rp48.720,Rp438.480,Laris,1
100,100100257,8998866202602,KRISBEE 16 GR,PCS,184.0,1883.9622,0.15,Rp51.997,Rp294.652,Laris,1
101,100100129,8998866201353,KRISBEE F.FRIES 9G,PCS,466.0,965.0,0.15,Rp67.454,Rp382.236,Laris,1
102,201056,8998866624329,LIQUID ALL VAR 525ML,PCS,14.0,11800.0,0.0,Rp0,Rp165.200,Tidak Laris,3
103,200229,200229,LIQUID DUS,DUS,31.0,48000.0,0.05,Rp74.400,Rp1.413.600,Sedang,2
104,202600063,8998866623766,LIQUID JUMBO ALL VARIANT BD6 40ML,PCS,258.0,5117.7570000000005,0.15,Rp198.057,Rp1.122.324,Laris,1
105,200800334,8999908060709,MARINA HBL NATURAL ALL VRT  95ML,PCS,43.0,4783.3333,0.05,Rp10.284,Rp195.399,Sedang,2
106,100200029,8998866202725,MILKU ALL VARIANT 200ML,PCS,717.0,3401.3888,0.15,Rp365.819,Rp2.072.976,Laris,1
107,202600043,8998866602556,NUVO BTG ALL VAR 72 GR,PCS,162.0,3391.0,0.15,Rp82.401,Rp466.941,Laris,1
108,200400016,8998866608107,NUVO BW ALL VARIANT 60ML,PCS,261.0,2651.3333,0.15,Rp103.800,Rp588.198,Laris,1
109,202600276,8998866609739,NUVO FAM ALL VARIANT 400ML,PCS,40.0,17400.0,0.05,Rp34.800,Rp661.200,Sedang,2
110,100100002,8998866201445,POTABEE BBQ 15G,PCS,209.0,1884.9514,0.15,Rp59.093,Rp334.862,Laris,1
111,201700150,8997225871794,POTATO Q ALL VRT 2000,PCS,46.0,1870.0,0.05,Rp4.301,Rp81.719,Sedang,2
112,101600071,101600071,POWER F  ALL VARIANT DUS,PCS,285.0,19517.6211,0.15,Rp834.378,Rp4.728.144,Laris,1
113,200300041,8998866615174,PROTEX COMFORT NIGHT 30CM SAC,PCS,218.0,910.7142,0.15,Rp29.780,Rp168.755,Laris,1
114,203200020,8998866502368,PROTEX COMFORT NIGHT 35 6S,PCS,3.0,6800.0,0.0,Rp0,Rp20.400,Tidak Laris,3
115,203200026,8998866502375,PROTEX COMFORT NIGHT 35CM BAG 12,PCS,6.0,13400.0,0.0,Rp0,Rp80.400,Tidak Laris,3
116,203200009,8998866502351,PROTEX COMFORT NIGHT 35CM SAC,PCS,211.0,925.0,0.15,Rp29.276,Rp165.899,Laris,1
117,203200030,8998866500180,PROTEX COMFORT NIGTH 30CM BAG 20,PCS,13.0,13675.0,0.0,Rp0,Rp177.775,Tidak Laris,3
118,203200024,8998866615211,PROTEX DAILY COMFORT DAY 10S,PCS,3.0,6900.0,0.0,Rp0,Rp20.700,Tidak Laris,3
119,300057,8998866615228,PROTEX DAILY COMFORT DAY 22P,PCS,1.0,14200.0,0.0,Rp0,Rp14.200,Tidak Laris,3
120,200520,8998866615204,PROTEX DAILY COMFORT DAY BD10,PCS,8.0,5500.0,0.0,Rp0,Rp44.000,Tidak Laris,3
121,203200029,8998866621502,PROTEX DAILY COMFORT NIGHT BAG 22,PCS,4.0,16775.0,0.0,Rp0,Rp67.100,Tidak Laris,3
122,203200028,8998866621496,PROTEX DAILY COMFORT NIGHT BAG10,PCS,18.0,8827.7777,0.0,Rp0,Rp158.900,Tidak Laris,3
123,203200027,8998866602280,PROTEX EXTRA MAXI BAG 10,PCS,7.0,6200.0,0.0,Rp0,Rp43.400,Tidak Laris,3
124,203200036,8998866602297,PROTEX EXTRA MAXI BAG 20,PCS,2.0,10200.0,0.0,Rp0,Rp20.400,Tidak Laris,3
125,200300039,8998866602273,PROTEX EXTRA MAXI BAG 8,PCS,2.0,3800.0,0.0,Rp0,Rp7.600,Tidak Laris,3
126,200300014,8998866500340,PROTEX EXTRA MAXI BD10,PCS,11.0,4500.0,0.0,Rp0,Rp49.500,Tidak Laris,3
127,200300040,8998866500128,PROTEX MAXI WING  5P,PCS,34.0,3000.0,0.05,Rp5.100,Rp96.900,Sedang,2
128,201700026,8998866500135,PROTEX MAXI WING BAG 10,PCS,8.0,6800.0,0.0,Rp0,Rp54.400,Tidak Laris,3
129,203200035,8998866500142,PROTEX MAXI WING BAG 20,PCS,5.0,12500.0,0.0,Rp0,Rp62.500,Tidak Laris,3
130,200189,8998866500357,PROTEX MAXI WING BD10,PCS,117.0,5368.1318,0.15,Rp94.211,Rp533.861,Laris,1
131,203200031,8998866631082,PROTEX NATURAL 30CM,PCS,105.0,961.5384,0.15,Rp15.144,Rp85.817,Laris,1
132,300058,8998866627061,PROTEX NATURAL DAUN SIRIH 22P,PCS,3.0,13800.0,0.0,Rp0,Rp41.400,Tidak Laris,3
133,203200025,8998866627054,PROTEX NATURAL DAUN SIRIH DAY 10S,PCS,4.0,6450.0,0.0,Rp0,Rp25.800,Tidak Laris,3
134,203200019,8998866627047,PROTEX NATURAL DAUN.S BD10,PCS,32.0,5500.0,0.05,Rp8.800,Rp167.200,Sedang,2
135,100400041,8998866200318,SEDAAP AYAM BWG 70GR,PCS,3353.0,2863.0956,0.15,Rp1.439.994,Rp8.159.966,Laris,1
136,100400157,8998866626842,SEDAAP AYAM JERIT 77GR,PCS,128.0,2917.8,0.15,Rp56.022,Rp317.457,Laris,1
137,100400008,8998866203227,SEDAAP AYAM LIMAU 89GR,PCS,29.0,3055.5,0.0,Rp0,Rp88.610,Sedang,2
138,100400126,8998866200509,SEDAAP AYAM SPESIAL 69GR,PCS,115.0,2542.1538,0.15,Rp43.852,Rp248.496,Laris,1
139,100400159,8998866623988,SEDAAP BAKED GORENG,PCS,50.0,2781.5789,0.05,Rp6.954,Rp132.125,Sedang,2
140,100400153,8998866623995,SEDAAP BAKED SOTO,PCS,15.0,2650.0,0.0,Rp0,Rp39.750,Tidak Laris,3
141,100400088,8998866200929,SEDAAP BAKSO SPC 77GR,PCS,198.0,2897.1833,0.15,Rp86.046,Rp487.596,Laris,1
142,100500342,8998866203708,SEDAAP BUMBU KALDU AYAM BD6,PCS,521.0,2767.9775,0.15,Rp216.317,Rp1.225.799,Laris,1
143,100400064,8998866200820,SEDAAP CUP AYAM BWG TELUR,PCS,1.5,4700.0,0.0,Rp0,Rp7.050,Tidak Laris,3
144,100400152,8998866203807,SEDAAP CUP AYAM NAMPOL,PCS,52.0,4650.0,0.1,Rp24.180,Rp217.620,Laris,1
145,100400060,8998866200851,SEDAAP CUP BASO SPC,PCS,231.0,4747.5,0.15,Rp164.501,Rp932.172,Laris,1
146,100400104,8998866200813,SEDAAP CUP GORENG,PCS,49.0,4987.8787,0.05,Rp12.220,Rp232.186,Sedang,2
147,100400015,8998866202404,SEDAAP CUP GRG KOREAN SPICY CHICKEN,PCS,35.0,4972.5,0.05,Rp8.702,Rp165.336,Sedang,2
148,100400186,8998866204156,SEDAAP CUP KARI MERCON,PCS,17.0,4773.3333,0.0,Rp0,Rp81.147,Tidak Laris,3
149,100400052,8998866200844,SEDAAP CUP KARI SPC,PCS,19.0,4727.2727,0.0,Rp0,Rp89.818,Tidak Laris,3
150,100400014,8998866202930,SEDAAP CUP RAWIT AYAM JERIT,PCS,26.0,4786.363600000001,0.0,Rp0,Rp124.445,Sedang,2
151,100400016,8998866203258,SEDAAP CUP RAWIT BASO BLEDUK,PCS,29.0,4800.0,0.0,Rp0,Rp139.200,Sedang,2
152,101500290,8998866202671,SEDAAP CUP SELECTION SOUP,PCS,166.0,4957.692300000001,0.15,Rp123.447,Rp699.530,Laris,1
153,100400082,8998866200837,SEDAAP CUP SOTO,PCS,33.0,4764.0,0.05,Rp7.861,Rp149.351,Sedang,2
154,100400005,8998866200301,SEDAAP GORENG 91GR,PCS,1277.0,3008.6843000000003,0.15,Rp576.313,Rp3.265.776,Laris,1
155,8998866629881,8998866629881,SEDAAP GRG ALA CHEF DEVINA,PCS,419.0,3035.3802,0.15,Rp190.774,Rp1.081.051,Laris,1
156,100500352,8998866203739,SEDAAP KALDU SAPI BD6,PCS,104.0,2768.2926,0.15,Rp43.185,Rp244.717,Laris,1
157,100400180,8998866200332,SEDAAP KARI AYAM 72GR,PCS,118.0,2856.3333,0.15,Rp50.557,Rp286.490,Laris,1
158,100400042,8998866200578,SEDAAP KARI KENTAL SPC 75GR,PCS,151.0,2924.6666,0.15,Rp66.244,Rp375.381,Laris,1
159,200600234,8998866202275,SEDAAP KCP SPECIAL 60ML,PCS,312.0,1875.3787,0.15,Rp87.768,Rp497.350,Laris,1
160,101500642,8998866608084,SEDAAP KECAP 700ML,PCS,4.0,19400.0,0.0,Rp0,Rp77.600,Tidak Laris,3
161,100700018,8998866203579,SEDAAP KOREAN CHEESE BULDAK 86g,PCS,122.0,3061.1917000000003,0.15,Rp56.020,Rp317.446,Laris,1
162,100400007,8998866202343,SEDAAP KOREAN SPY CHKN 87GR,PCS,501.0,3032.6310000000003,0.15,Rp227.902,Rp1.291.446,Laris,1
163,101500192,8998866202619,SEDAAP KOREAN SPY SOUP 77GR,PCS,200.0,2913.8888,0.15,Rp87.417,Rp495.361,Laris,1
164,100400058,8998866202770,SEDAAP SALERO PADANG,PCS,28.0,3047.4285,0.0,Rp0,Rp85.328,Sedang,2
165,100400006,8998866203104,SEDAAP SINGAPORE LAKSA 83GR,PCS,153.0,2889.5591,0.15,Rp66.315,Rp375.787,Laris,1
166,100400043,8998866200325,SEDAAP SOTO 75GR,PCS,1008.0,2889.3048000000003,0.15,Rp436.863,Rp2.475.556,Laris,1
167,100400079,8998866203401,SEDAAP SOTO MADURA 82GR,PCS,89.0,2943.5098000000003,0.1,Rp26.197,Rp235.775,Laris,1
168,100400046,8998866202237,SEDAAP TASTY ALL VAR 124GR,PCS,80.0,5380.0,0.1,Rp43.040,Rp387.360,Laris,1
169,100400112,89988662023121,SEDAAP TASTY BAKMI AYAM 129G,PCS,514.0,5400.0,0.15,Rp416.340,Rp2.359.260,Laris,1
170,100400047,89988662030431,SEDAAP TASTY BEEF YAKINIKU 115G,PCS,67.0,5420.4545,0.1,Rp36.317,Rp326.853,Laris,1
171,100400173,89988662039751,SEDAAP TASTY CHIKEN TERIYAKI 120G,PCS,214.0,5488.4615,0.15,Rp176.180,Rp998.351,Laris,1
172,100400138,8998866201346,SEDAAP WHITE CURRY 81GR,PCS,132.0,2918.1904,0.15,Rp57.780,Rp327.421,Laris,1
173,100500383,8998866203715,SEDAP KALDU AYAM 100G,PCS,24.0,3978.2608,0.0,Rp0,Rp95.478,Sedang,2
174,100500382,8998866203746,SEDAP KALDU SAPI 100G,PCS,5.0,3980.0,0.0,Rp0,Rp19.900,Tidak Laris,3
175,201274,201274,SEDAP KECAP 20G RENCENG BOX (16GT),PCS,3.0,10800.0,0.0,Rp0,Rp32.400,Tidak Laris,3
176,101500637,8998866608015,SEDAP KECAP 270ML,PCS,3.0,18600.0,0.0,Rp0,Rp55.800,Tidak Laris,3
177,101500372,8998866608008,SEDAP KECAP MANIS  BTL135ML,PCS,13.0,8700.0,0.0,Rp0,Rp113.100,Tidak Laris,3
178,201500014,8998866603874,SO KLIN LANTAI ALL VARIANT 23ML BD 12,PCS,82.0,4827.659500000001,0.1,Rp39.587,Rp356.281,Laris,1
179,201500018,8998866600569,SO KLIN LANTAI ALL VARIANT 310ML,PCS,13.0,4900.0,0.0,Rp0,Rp63.700,Tidak Laris,3
180,200400055,8998866608244,SO KLIN LANTAI ALL VARIANT 52ML,PCS,140.0,964.8648,0.15,Rp20.262,Rp114.819,Laris,1
181,201065,8998866603539,SO KLIN LANTAI ALL VRT 770ML,PCS,7.0,12800.0,0.0,Rp0,Rp89.600,Tidak Laris,3
182,202600295,8998866626262,SO SOFT ALL  VRT BD3 RENCENG,PCS,482.0,5146.1224,0.15,Rp372.065,Rp2.108.366,Laris,1
183,100400108,8998866202558,SO YUMIE ALL VRT BD5,PCS,51.0,4583.3333,0.1,Rp23.375,Rp210.375,Laris,1
184,100400055,89988662025411,SO YUMIE GELAS AB BD5,PCS,9.0,4625.0,0.0,Rp0,Rp41.625,Tidak Laris,3
185,100400056,89988662025651,SO YUMIE GELAS SOTO,PCS,2.0,5000.0,0.0,Rp0,Rp10.000,Tidak Laris,3
186,203200038,8992959974407,SOFTEX CELANA MENS DS 2S,PCS,1.0,19800.0,0.0,Rp0,Rp19.800,Tidak Laris,3
187,200601,8992959971239,SOFTEX COM NIGHT ABL  29CM 9S,PCS,7.0,10800.0,0.0,Rp0,Rp75.600,Tidak Laris,3
188,200391,8992959971253,SOFTEX COMFORT NIGHT ABL 36CM ISI12,PCS,5.0,18200.0,0.0,Rp0,Rp91.000,Tidak Laris,3
189,203200002,8992959974506,SOFTEX DAUN SIRIH 29CM 2P,PCS,31.0,2900.0,0.05,Rp4.495,Rp85.405,Sedang,2
190,200230,8992959089088,SOFTEX DAUN SIRIH 29CM 8+1,PCS,7.0,10800.0,0.0,Rp0,Rp75.600,Tidak Laris,3
191,203200037,8992959974025,SOFTEX DAUN SIRIH 31N1,PCS,5.0,22800.0,0.0,Rp0,Rp114.000,Tidak Laris,3
192,203200004,8992959974513,SOFTEX DAUN SIRIH 36CM 2P,PCS,57.0,2878.9473000000003,0.1,Rp16.410,Rp147.690,Laris,1
193,200268,8992959974001,SOFTEX DAUN SIRIH 36CM 6S,PCS,7.0,11000.0,0.0,Rp0,Rp77.000,Tidak Laris,3
194,203200003,8992959971291,SOFTEX DAUN SIRIH COMF 36CM 2P,PCS,54.0,2800.0,0.1,Rp15.120,Rp136.080,Laris,1
195,200701,8992959974582,SOFTEX DAUN SIRIH ISI 2,PCS,121.0,1598.0,0.15,Rp29.004,Rp164.354,Laris,1
196,301100001,8992959117576,SOFTEX DAUN SIRIH NON WING 20S,PCS,2.0,14000.0,0.0,Rp0,Rp28.000,Tidak Laris,3
